;LP;campaign;configuration;dischargeID;plunge;V_limit_failure;V_limit_failure_yn;V_limit_change;R_limit_failure;R_limit_failure_yn;numberOfFailureIndicators;ne;std_ne;Te;std_Te
274;50209;OP23;DBM000+2520;20250409.053;1.0;0.5490196078431373;True;False;0.0;False;1;;;;
252;50209;OP23;DBM000+2520;20250409.050;9.0;0.5463917525773195;True;False;0.0;False;1;;;;
522;50209;OP23;KJM008+2520;20250402.075;5.0;0.5454545454545454;True;False;0.0;False;1;;;;
745;50209;OP23;KJM008+2520;20250403.023;20.0;0.5444444444444444;True;False;0.0;False;1;;;;
333;50209;OP23;DBM000+2520;20250409.061;4.0;0.5425531914893617;True;False;0.0;False;1;;;;
750;50209;OP23;KJM008+2520;20250403.024;13.0;0.5423728813559322;True;False;0.0;False;1;;;;
328;50209;OP23;DBM000+2520;20250409.042;4.0;0.5402298850574713;True;False;0.0;False;1;;;;
559;50209;OP23;KJM008+2520;20250402.041;0.8;0.5402298850574713;True;False;0.0;False;1;;;;
614;50209;OP23;KJM008+2520;20250402.038;7.0;0.5402298850574713;True;False;0.0;False;1;;;;
738;50209;OP23;KJM008+2520;20250403.023;1.0;0.5402298850574713;True;False;0.0;False;1;;;;
314;50209;OP23;DBM000+2520;20250409.048;10.0;0.5393258426966292;True;False;0.0;False;1;;;;
365;50209;OP23;DBM000+2520;20250409.030;10.0;0.5393258426966292;True;False;0.0;False;1;;;;
454;50209;OP23;KJM008+2520;20250402.077;5.0;0.5393258426966292;True;False;0.0;False;1;;;;
555;50209;OP23;KJM008+2520;20250402.046;0.8;0.5393258426966292;True;False;0.0;False;1;4.08e+18;2.99e+18;6.52;8.35
649;50209;OP23;KJM008+2520;20250402.033;16.0;0.5384615384615384;True;False;0.0;False;1;0.0;;82.83;63.5
390;50209;OP23;DBM000+2520;20250409.069;7.199999999999999;0.5376344086021505;True;False;0.0;False;1;;;;
524;50209;OP23;KJM008+2520;20250402.075;11.0;0.5368421052631579;True;False;0.0;False;1;;;;
399;50209;OP23;DBM000+2520;20250409.068;16.2;0.5360824742268041;True;False;0.0;False;1;;;;
221;50209;OP23;DBM000+2520;20250409.018;1.0;0.5353535353535354;True;False;0.0;False;1;;;;
737;50209;OP23;KJM008+2520;20250403.014;13.0;0.5353535353535354;True;False;0.0;False;1;;;;
381;50209;OP23;DBM000+2520;20250409.026;13.0;0.5348837209302325;True;False;0.0;False;1;;;;
673;50209;OP23;KJM008+2520;20250403.020;4.0;0.5348837209302325;True;False;0.0;False;1;;;;
729;50209;OP23;KJM008+2520;20250403.015;4.0;0.5346534653465347;True;False;0.0;False;1;;;;
266;50209;OP23;DBM000+2520;20250409.055;10.0;0.5340909090909091;True;False;0.0;False;1;;;;
364;50209;OP23;DBM000+2520;20250409.030;7.0;0.5340909090909091;True;False;0.0;False;1;;;;
678;50209;OP23;KJM008+2520;20250403.020;18.0;0.5333333333333333;True;False;0.0;False;1;;;;
462;50209;OP23;KJM008+2520;20250402.078;14.0;0.532608695652174;True;False;0.0;False;1;;;;
735;50209;OP23;KJM008+2520;20250403.014;7.0;0.532608695652174;True;False;0.0;False;1;;;;
578;50209;OP23;KJM008+2520;20250402.043;18.0;0.5319148936170213;True;False;0.0;False;1;;;;
253;50209;OP23;DBM000+2520;20250409.050;11.0;0.53125;True;False;0.0;False;1;;;;
316;50209;OP23;DBM000+2520;20250409.045;4.0;0.53125;True;False;0.0;False;1;;;;
447;50209;OP23;KJM008+2520;20250402.062;2.0;0.5306122448979592;True;False;0.0;False;1;;;;
515;50209;OP23;KJM008+2520;20250402.074;14.0;0.5294117647058824;True;False;0.0;False;1;;;;
751;50209;OP23;KJM008+2520;20250403.024;16.0;0.5294117647058824;True;False;0.0;False;1;;;;
736;50209;OP23;KJM008+2520;20250403.014;10.0;0.5288461538461539;True;False;0.0;False;1;;;;
259;50209;OP23;DBM000+2520;20250409.050;26.0;0.5287356321839081;True;False;0.0;False;1;;;;
753;50209;OP23;KJM008+2520;20250403.024;20.0;0.5287356321839081;True;False;0.0;False;1;;;;
757;50209;OP23;KJM008+2520;20250403.025;10.0;0.5287356321839081;True;False;0.0;False;1;;;;
351;50209;OP23;DBM000+2520;20250409.038;10.0;0.5280898876404494;True;False;0.0;False;1;;;;
449;50209;OP23;KJM008+2520;20250402.062;8.0;0.5280898876404494;True;False;0.0;False;1;;;;
691;50209;OP23;KJM008+2520;20250403.021;10.0;0.5280898876404494;True;False;0.0;False;1;;;;
369;50209;OP23;DBM000+2520;20250409.033;10.0;0.5277777777777778;True;False;0.0;False;1;;;;
679;50209;OP23;KJM008+2520;20250403.020;20.0;0.5274725274725275;True;False;0.0;False;1;;;;
708;50209;OP23;KJM008+2520;20250403.017;13.0;0.5274725274725275;True;False;0.0;False;1;;;;
713;50209;OP23;KJM008+2520;20250403.026;4.0;0.5274725274725275;True;False;0.0;False;1;;;;
275;50209;OP23;DBM000+2520;20250409.053;3.0;0.5268817204301075;True;False;0.0;False;1;;;;
398;50209;OP23;DBM000+2520;20250409.068;13.2;0.5268817204301075;True;False;0.0;False;1;;;;
468;50209;OP23;KJM008+2520;20250402.081;1.0;0.5268817204301075;True;False;0.0;False;1;;;;
525;50209;OP23;KJM008+2520;20250402.075;14.0;0.5268817204301075;True;False;0.0;False;1;;;;
227;50209;OP23;DBM000+2520;20250409.016;10.0;0.5263157894736842;True;False;0.0;False;1;;;;
348;50209;OP23;DBM000+2520;20250409.038;1.0;0.5263157894736842;True;False;0.0;False;1;;;;
249;50209;OP23;DBM000+2520;20250409.050;3.0;0.5257731958762887;True;False;0.0;False;1;;;;
665;50209;OP23;KJM008+2520;20250403.016;4.0;0.5257731958762887;True;False;0.0;False;1;;;;
671;50209;OP23;KJM008+2520;20250403.016;20.0;0.5257731958762887;True;False;0.0;False;1;;;;
734;50209;OP23;KJM008+2520;20250403.014;4.0;0.5257731958762887;True;False;0.0;False;1;;;;
450;50209;OP23;KJM008+2520;20250402.062;11.0;0.5244755244755245;True;False;0.0;False;1;;;;
654;50209;OP23;KJM008+2520;20250402.059;8.0;0.5242718446601942;True;False;0.0;False;1;;;;
730;50209;OP23;KJM008+2520;20250403.015;7.0;0.5233644859813084;True;False;0.0;False;1;;;;
218;50209;OP23;DBM000+2520;20250409.017;4.0;0.5232558139534884;True;False;0.0;False;1;;;;
356;50209;OP23;DBM000+2520;20250409.032;4.0;0.5232558139534884;True;False;0.0;False;1;;;;
425;50209;OP23;KJM008+2520;20250402.028;10.0;0.5232558139534884;True;False;0.0;False;1;;;;
518;50209;OP23;KJM008+2520;20250402.064;8.0;0.5232558139534884;True;False;0.0;False;1;;;;
669;50209;OP23;KJM008+2520;20250403.016;16.0;0.5232558139534884;True;False;0.0;False;1;;;;
697;50209;OP23;KJM008+2520;20250403.018;4.0;0.5232558139534884;True;False;0.0;False;1;;;;
392;50209;OP23;DBM000+2520;20250409.069;13.2;0.5227272727272727;True;False;0.0;False;1;;;;
650;50209;OP23;KJM008+2520;20250402.033;18.0;0.5227272727272727;True;False;0.0;False;1;0.0;;73.29;53.17
666;50209;OP23;KJM008+2520;20250403.016;7.0;0.5227272727272727;True;False;0.0;False;1;;;;
225;50209;OP23;DBM000+2520;20250409.016;4.0;0.5222222222222223;True;False;0.0;False;1;;;;
568;50209;OP23;KJM008+2520;20250402.042;7.0;0.5222222222222223;True;False;0.0;False;1;0.0;;91.93;76.73
583;50209;OP23;KJM008+2520;20250402.040;10.0;0.5222222222222223;True;False;0.0;False;1;;;;
615;50209;OP23;KJM008+2520;20250402.038;10.0;0.5222222222222223;True;False;0.0;False;1;;;;
651;50209;OP23;KJM008+2520;20250402.033;20.0;0.5222222222222223;True;False;0.0;False;1;;;;
702;50209;OP23;KJM008+2520;20250403.018;18.0;0.5217391304347826;True;False;0.0;False;1;;;;
709;50209;OP23;KJM008+2520;20250403.017;16.0;0.5217391304347826;True;False;0.0;False;1;;;;
761;50209;OP23;KJM008+2520;20250403.025;20.0;0.5217391304347826;True;False;0.0;False;1;;;;
763;50209;OP23;KJM008+2520;20250402.068;4.0;0.5214285714285715;True;False;0.0;False;1;;;;
437;50209;OP23;KJM008+2520;20250402.048;4.0;0.5212765957446809;True;False;0.0;False;1;7.8e+17;4.79e+18;6.78;57.14
579;50209;OP23;KJM008+2520;20250402.043;20.0;0.5212765957446809;True;False;0.0;False;1;;;;
719;50209;OP23;KJM008+2520;20250403.026;20.0;0.5212765957446809;True;False;0.0;False;1;;;;
318;50209;OP23;DBM000+2520;20250409.045;10.0;0.5208333333333334;True;False;0.0;False;1;;;;
516;50209;OP23;KJM008+2520;20250402.064;2.0;0.5208333333333334;True;False;0.0;False;1;;;;
521;50209;OP23;KJM008+2520;20250402.075;2.0;0.5208333333333334;True;False;0.0;False;1;;;;
361;50209;OP23;DBM000+2520;20250409.035;10.0;0.5204081632653061;True;False;0.0;False;1;;;;
652;50209;OP23;KJM008+2520;20250402.059;2.0;0.52;True;False;0.0;False;1;;;;
446;50209;OP23;KJM008+2520;20250402.054;2.0;0.5180722891566265;True;False;0.0;False;1;;;;
271;50209;OP23;DBM000+2520;20250409.062;4.0;0.5176470588235295;True;False;0.0;False;1;;;;
308;50209;OP23;DBM000+2520;20250409.057;4.0;0.5176470588235295;True;False;0.0;False;1;;;;
457;50209;OP23;KJM008+2520;20250402.077;14.0;0.5176470588235295;True;False;0.0;False;1;;;;
239;50209;OP23;DBM000+2520;20250409.056;7.0;0.5172413793103449;True;False;0.0;False;1;;;;
420;50209;OP23;KJM008+2520;20250402.036;0.8;0.5172413793103449;True;False;0.0;False;1;;;;
507;50209;OP23;KJM008+2520;20250402.071;5.0;0.5172413793103449;True;False;0.0;False;1;;;;
535;50209;OP23;KJM008+2520;20250402.030;7.0;0.5172413793103449;True;False;0.0;False;1;;;;
542;50209;OP23;KJM008+2520;20250402.027;4.0;0.5172413793103449;True;False;0.0;False;1;;;;
661;50209;OP23;KJM008+2520;20250402.060;1.0;0.5172413793103449;True;False;0.0;False;1;;;;
744;50209;OP23;KJM008+2520;20250403.023;18.0;0.5172413793103449;True;False;0.0;False;1;;;;
760;50209;OP23;KJM008+2520;20250403.025;18.0;0.5172413793103449;True;False;0.0;False;1;;;;
379;50209;OP23;DBM000+2520;20250409.026;7.0;0.5168539325842697;True;False;0.0;False;1;;;;
562;50209;OP23;KJM008+2520;20250402.041;12.8;0.5168539325842697;True;False;0.0;False;1;;;;
699;50209;OP23;KJM008+2520;20250403.018;10.0;0.5168539325842697;True;False;0.0;False;1;;;;
573;50209;OP23;KJM008+2520;20250402.043;4.0;0.5164835164835165;True;False;0.0;False;1;;;;
618;50209;OP23;KJM008+2520;20250402.038;18.0;0.5164835164835165;True;False;0.0;False;1;;;;
727;50209;OP23;KJM008+2520;20250403.022;20.0;0.5164835164835165;True;False;0.0;False;1;;;;
384;50209;OP23;DBM000+2520;20250409.020;7.0;0.5161290322580645;True;False;0.0;False;1;;;;
696;50209;OP23;KJM008+2520;20250403.018;1.0;0.5161290322580645;True;False;0.0;False;1;;;;
740;50209;OP23;KJM008+2520;20250403.023;7.0;0.5161290322580645;True;False;0.0;False;1;;;;
513;50209;OP23;KJM008+2520;20250402.074;8.0;0.5154639175257731;True;False;0.0;False;1;;;;
245;50209;OP23;DBM000+2520;20250409.052;4.0;0.5151515151515151;True;False;0.0;False;1;;;;
509;50209;OP23;KJM008+2520;20250402.071;11.0;0.5151515151515151;True;False;0.0;False;1;;;;
438;50209;OP23;KJM008+2520;20250402.048;7.0;0.5130434782608696;True;False;0.0;False;1;;;;
474;50209;OP23;KJM008+2520;20250402.079;11.0;0.5128205128205128;True;False;0.0;False;1;;;;
444;50209;OP23;KJM008+2520;20250402.051;10.0;0.5126050420168067;True;False;0.0;False;1;2.61e+18;2.1800000000000005e+18;6.76;9.43
337;50209;OP23;DBM000+2520;20250409.027;4.0;0.5121951219512195;True;False;0.0;False;1;;;;
690;50209;OP23;KJM008+2520;20250403.021;7.0;0.5121951219512195;True;False;0.0;False;1;;;;
241;50209;OP23;DBM000+2520;20250409.056;13.0;0.5119047619047619;True;False;0.0;False;1;;;;
268;50209;OP23;DBM000+2520;20250409.055;16.0;0.5119047619047619;True;False;0.0;False;1;;;;
343;50209;OP23;DBM000+2520;20250409.036;4.0;0.5119047619047619;True;False;0.0;False;1;;;;
565;50209;OP23;KJM008+2520;20250402.065;7.5;0.5119047619047619;True;False;0.0;False;1;;;;
569;50209;OP23;KJM008+2520;20250402.042;10.0;0.5119047619047619;True;False;0.0;False;1;0.0;;6.44;
689;50209;OP23;KJM008+2520;20250403.021;4.0;0.5119047619047619;True;False;0.0;False;1;;;;
234;50209;OP23;DBM000+2520;20250409.021;4.0;0.5116279069767442;True;False;0.0;False;1;;;;
247;50209;OP23;DBM000+2520;20250409.052;10.0;0.5116279069767442;True;False;0.0;False;1;;;;
276;50209;OP23;DBM000+2520;20250409.053;5.0;0.5116279069767442;True;False;0.0;False;1;;;;
