;dischargeID;maxNumberOfFailureIndicators;numberOfFailedPlunges;configuration;campaign
485;20250423.058;0;0;FTM004+2520;OP23
484;20250423.057;0;0;FTM004+2520;OP23
483;20250423.056;0;0;FTM004+2520;OP23
482;20250423.055;0;0;FTM004+2520;OP23
481;20250423.054;0;0;FTM004+2520;OP23
480;20250423.053;0;0;FTM004+2520;OP23
479;20250423.052;0;0;FTM004+2520;OP23
478;20250423.051;0;0;FTM004+2520;OP23
477;20250423.050;0;0;FTM004+2520;OP23
476;20250423.049;0;0;FTM004+2520;OP23
475;20250423.048;0;0;FTM004+2520;OP23
474;20250423.047;0;0;FTM004+2520;OP23
473;20250423.046;0;0;FTM004+2520;OP23
472;20250423.045;0;0;FTM004+2520;OP23
471;20250423.043;0;0;FTM004+2520;OP23
470;20250423.042;0;0;FTM004+2520;OP23
469;20250423.040;0;0;FTM004+2520;OP23
468;20250423.039;0;0;FTM004+2520;OP23
467;20250423.035;0;0;FTM004+2520;OP23
466;20250423.034;0;0;FTM004+2520;OP23
465;20250423.033;0;0;FTM004+2520;OP23
464;20250423.032;0;0;FTM004+2520;OP23
463;20250423.027;0;0;FTM004+1800;OP23
462;20250423.025;0;0;FTM004+1800;OP23
461;20250423.024;0;0;FTM004+1800;OP23
460;20250423.021;0;0;FMM002+1800;OP23
459;20250423.020;0;0;FMM002+1800;OP23
458;20250423.019;0;0;FMM002+1800;OP23
457;20250423.018;0;0;FMM002+1800;OP23
456;20250423.014;0;0;FMM002+1800;OP23
455;20250416.125;0;0;IKJ000+2520;OP23
454;20250416.071;0;0;DKJ000+2520;OP23
453;20250416.061;0;0;DKJ000+2520;OP23
452;20250416.025;0;0;DKJ000+2520;OP23
451;20250409.090;0;0;EGM000+2520;OP23
450;20250409.087;0;0;EGM000+2520;OP23
449;20250409.076;0;0;EEM001+2520;OP23
448;20250409.075;0;0;EEM001+2520;OP23
447;20250409.069;0;0;DBM000+2520;OP23
446;20250409.068;0;0;DBM000+2520;OP23
445;20250409.063;0;0;DBM000+2520;OP23
444;20250409.062;0;0;DBM000+2520;OP23
443;20250409.061;0;0;DBM000+2520;OP23
442;20250409.058;0;0;DBM000+2520;OP23
441;20250409.057;0;0;DBM000+2520;OP23
440;20250409.056;0;0;DBM000+2520;OP23
439;20250409.054;0;0;DBM000+2520;OP23
438;20250409.053;0;0;DBM000+2520;OP23
437;20250409.050;0;0;DBM000+2520;OP23
436;20250409.048;0;0;DBM000+2520;OP23
435;20250409.047;0;0;DBM000+2520;OP23
434;20250409.046;0;0;DBM000+2520;OP23
433;20250409.045;0;0;DBM000+2520;OP23
432;20250409.043;0;0;DBM000+2520;OP23
431;20250409.042;0;0;DBM000+2520;OP23
430;20250409.041;0;0;DBM000+2520;OP23
429;20250409.040;0;0;DBM000+2520;OP23
428;20250409.039;0;0;DBM000+2520;OP23
427;20250409.038;0;0;DBM000+2520;OP23
426;20250409.036;0;0;DBM000+2520;OP23
425;20250409.035;0;0;DBM000+2520;OP23
424;20250409.033;0;0;DBM000+2520;OP23
423;20250409.032;0;0;DBM000+2520;OP23
422;20250409.031;0;0;DBM000+2520;OP23
